0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:15 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:15 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:15 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:15 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:16 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:16 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:17 -0700] "PUT /MVCProject/rest/user/1/todo/1 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:17 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:18 -0700] "PUT /MVCProject/rest/user/1/todo/1 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:18 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:18 -0700] "PUT /MVCProject/rest/user/1/todo/2 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:18 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:19 -0700] "PUT /MVCProject/rest/user/1/todo/2 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:19 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:19 -0700] "PUT /MVCProject/rest/user/1/todo/2 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:19 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:20 -0700] "PUT /MVCProject/rest/user/1/todo/3 HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:20 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:20 -0700] "PUT /MVCProject/rest/user/1/todo/3 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:20 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:21 -0700] "PUT /MVCProject/rest/user/1/todo/4 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:21 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:22 -0700] "PUT /MVCProject/rest/user/1/todo/4 HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:22 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:30 -0700] "PUT /MVCProject/rest/user/1/todo/1 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:31 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:31 -0700] "PUT /MVCProject/rest/user/1/todo/2 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:34:31 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:39:02 -0700] "GET /MVCProject/ HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:39:02 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:39:02 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:39:02 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:39:02 -0700] "GET /MVCProject/app/appModule/incomplete.filter.js HTTP/1.1" 200 165
